observation_id,observed_at,product_id,product_query,normalized_product_name,brand,model,source,source_url,seller_name,listed_price,availability_status,warranty,notes
OBS-20260528-001,2026-05-28,APPL-WU2,Apple Watch Ultra 2,Apple Watch Ultra 2,Apple,Watch Ultra 2,Torob,,Tehran Watch Center,185160000,available,18 months,Demo observation
OBS-20260528-002,2026-05-28,APPL-WU2,Apple Watch Ultra 2,Apple Watch Ultra 2,Apple,Watch Ultra 2,Digikala,,Pars Digital,192880000,available,12 months,Demo observation
OBS-20260528-003,2026-05-28,APPL-WU2,Apple Watch Ultra 2,Apple Watch Ultra 2,Apple,Watch Ultra 2,Emalls,,Mehr Gadget,200600000,limited,seller warranty,Demo observation
OBS-20260528-004,2026-05-28,APPL-WU2,Apple Watch Ultra 2,Apple Watch Ultra 2,Apple,Watch Ultra 2,Small Online Store,,Negin Mobile,208310000,unavailable,not listed,Price visible but seller marks low availability
OBS-20260528-005,2026-05-28,APPL-WSE2,Apple Watch SE 2,Apple Watch SE 2,Apple,Watch SE 2,Torob,,Pars Digital,54860000,available,18 months,Demo observation
OBS-20260528-006,2026-05-28,APPL-WSE2,Apple Watch SE 2,Apple Watch SE 2,Apple,Watch SE 2,Digikala,,Mehr Gadget,57150000,limited,12 months,Demo observation
OBS-20260528-007,2026-05-28,APPL-WSE2,Apple Watch SE 2,Apple Watch SE 2,Apple,Watch SE 2,Emalls,,Negin Mobile,59440000,unavailable,seller warranty,Demo observation
OBS-20260528-008,2026-05-28,APPL-WSE2,Apple Watch SE 2,Apple Watch SE 2,Apple,Watch SE 2,Small Online Store,,Arya Wearables,61720000,available,not listed,Price visible but seller marks low availability
OBS-20260528-009,2026-05-28,APPL-WS9,Apple Watch Series 9,Apple Watch Series 9,Apple,Watch Series 9,Torob,,Mehr Gadget,89870000,limited,18 months,Demo observation
OBS-20260528-010,2026-05-28,APPL-WS9,Apple Watch Series 9,Apple Watch Series 9,Apple,Watch Series 9,Digikala,,Negin Mobile,93610000,unavailable,12 months,Demo observation
OBS-20260528-011,2026-05-28,APPL-WS9,Apple Watch Series 9,Apple Watch Series 9,Apple,Watch Series 9,Emalls,,Arya Wearables,97350000,available,seller warranty,Demo observation
OBS-20260528-012,2026-05-28,APPL-WS9,Apple Watch Series 9,Apple Watch Series 9,Apple,Watch Series 9,Small Online Store,,Tehran Watch Center,101100000,available,not listed,Price visible but seller marks low availability
OBS-20260528-013,2026-05-28,SMSN-GW6C,Samsung Galaxy Watch 6 Classic,Samsung Galaxy Watch 6 Classic,Samsung,Galaxy Watch 6 Classic,Torob,,Negin Mobile,84650000,unavailable,18 months,Demo observation
OBS-20260528-014,2026-05-28,SMSN-GW6C,Samsung Galaxy Watch 6 Classic,Samsung Galaxy Watch 6 Classic,Samsung,Galaxy Watch 6 Classic,Digikala,,Arya Wearables,88180000,available,12 months,Demo observation
OBS-20260528-015,2026-05-28,SMSN-GW6C,Samsung Galaxy Watch 6 Classic,Samsung Galaxy Watch 6 Classic,Samsung,Galaxy Watch 6 Classic,Emalls,,Tehran Watch Center,91710000,available,seller warranty,Demo observation
