product_id,brand,model,product_name,product_query,torob_url,digikala_url,global_reference_url,priority,active,notes
APPL-WU2,Apple,Watch Ultra 2,Apple Watch Ultra 2,Apple Watch Ultra 2,,,,high,True,High-end outdoor smartwatch with limited local supply
APPL-WSE2,Apple,Watch SE 2,Apple Watch SE 2,Apple Watch SE 2,,,,high,True,Entry Apple wearable with strong demand
APPL-WS9,Apple,Watch Series 9,Apple Watch Series 9,Apple Watch Series 9,,,,high,True,Mainstream Apple smartwatch
SMSN-GW6C,Samsung,Galaxy Watch 6 Classic,Samsung Galaxy Watch 6 Classic,Samsung Galaxy Watch 6 Classic,,,,high,True,Classic rotating bezel smartwatch
SMSN-GW7,Samsung,Galaxy Watch 7,Samsung Galaxy Watch 7,Samsung Galaxy Watch 7,,,,high,True,Current Samsung smartwatch
XIAO-WS3,Xiaomi,Watch S3,Xiaomi Watch S3,Xiaomi Watch S3,,,,medium,True,Competitive mid-range smartwatch
REDM-W4,Redmi,Watch 4,Redmi Watch 4,Redmi Watch 4,,,,medium,True,Popular value smartwatch
HUAW-GT4,Huawei,Watch GT 4,Huawei Watch GT 4,Huawei Watch GT 4,,,,medium,True,Long battery life smartwatch
AMAZ-GTR4,Amazfit,GTR 4,Amazfit GTR 4,Amazfit GTR 4,,,,medium,True,Multi-sport GPS smartwatch
AMAZ-GTS4,Amazfit,GTS 4,Amazfit GTS 4,Amazfit GTS 4,,,,medium,True,Slim lifestyle smartwatch
HAYL-RS4P,Haylou,RS4 Plus,Haylou RS4 Plus,Haylou RS4 Plus,,,,low,True,Budget smartwatch
KIES-KRPRO,Kieslect,Kr Pro,Kieslect Kr Pro,Kieslect Kr Pro,,,,low,True,Budget AMOLED smartwatch
FITB-CHG6,Fitbit,Charge 6,Fitbit Charge 6,Fitbit Charge 6,,,,medium,True,Niche fitness tracker
GARM-FR165,Garmin,Forerunner 165,Garmin Forerunner 165,Garmin Forerunner 165,,,,high,True,Running GPS watch
GARM-VENU3,Garmin,Venu 3,Garmin Venu 3,Garmin Venu 3,,,,high,True,Premium health and fitness smartwatch
POLR-IGN3,Polar,Ignite 3,Polar Ignite 3,Polar Ignite 3,,,,medium,True,Niche training watch
SUUN-RACES,Suunto,Race S,Suunto Race S,Suunto Race S,,,,medium,True,Niche outdoor sport watch
MOBV-TWP5,Mobvoi,TicWatch Pro 5,Mobvoi TicWatch Pro 5,Mobvoi TicWatch Pro 5,,,,medium,True,Wear OS performance smartwatch
SKGN-FG6,Skagen,Falster Gen 6,Skagen Falster Gen 6,Skagen Falster Gen 6,,,,low,True,Fashion Wear OS smartwatch
AMAZ-BIP5,Amazfit,Bip 5,Amazfit Bip 5,Amazfit Bip 5,,,,low,True,Large-screen budget smartwatch
