product_id,brand,model,base_usd_price,base_usd_price_source,usd_rate,source_url,observed_at,notes
APPL-WU2,Apple,Watch Ultra 2,799,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
APPL-WSE2,Apple,Watch SE 2,249,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
APPL-WS9,Apple,Watch Series 9,399,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
SMSN-GW6C,Samsung,Galaxy Watch 6 Classic,399,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
SMSN-GW7,Samsung,Galaxy Watch 7,299,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
XIAO-WS3,Xiaomi,Watch S3,149,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
REDM-W4,Redmi,Watch 4,99,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
HUAW-GT4,Huawei,Watch GT 4,279,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
AMAZ-GTR4,Amazfit,GTR 4,199,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
AMAZ-GTS4,Amazfit,GTS 4,199,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
HAYL-RS4P,Haylou,RS4 Plus,49,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
KIES-KRPRO,Kieslect,Kr Pro,69,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
FITB-CHG6,Fitbit,Charge 6,159.95,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
GARM-FR165,Garmin,Forerunner 165,249,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
GARM-VENU3,Garmin,Venu 3,449,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
POLR-IGN3,Polar,Ignite 3,329,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
SUUN-RACES,Suunto,Race S,349,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
MOBV-TWP5,Mobvoi,TicWatch Pro 5,349,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
SKGN-FG6,Skagen,Falster Gen 6,295,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
AMAZ-BIP5,Amazfit,Bip 5,89,public_reference,170000,,2026-05-20,Demo global reference price; not live scraped
