product_id,our_current_price,our_cost_price,our_inventory,our_sales_7d,our_sales_30d,our_target_margin,our_strategy
APPL-WU2,185160000,138550000,4,1,3,0.32,balanced
APPL-WSE2,58860000,43180000,6,1,4,0.28,profit_protection
APPL-WS9,101100000,69190000,8,2,10,0.35,premium_positioning
SMSN-GW6C,87300000,63760000,18,4,12,0.24,market_penetration
SMSN-GW7,61160000,47780000,12,1,4,0.26,trust_builder
XIAO-WS3,28200000,23810000,70,2,10,0.22,clearance_cashflow
REDM-W4,19420000,14810000,87,3,9,0.32,balanced
HUAW-GT4,63510000,44580000,22,5,20,0.28,profit_protection
AMAZ-GTR4,40190000,31800000,45,2,10,0.35,premium_positioning
AMAZ-GTS4,37520000,31800000,52,2,6,0.24,market_penetration
HAYL-RS4P,8960000,7330000,59,8,32,0.26,trust_builder
KIES-KRPRO,13770000,10320000,61,6,30,0.22,clearance_cashflow
FITB-CHG6,38760000,25560000,28,1,3,0.32,balanced
GARM-FR165,54060000,42330000,11,2,8,0.28,profit_protection
GARM-VENU3,93280000,76330000,18,2,10,0.35,premium_positioning
POLR-IGN3,71950000,52570000,14,4,12,0.24,market_penetration
SUUN-RACES,82500000,55770000,8,1,4,0.26,trust_builder
MOBV-TWP5,80740000,55770000,17,3,15,0.22,clearance_cashflow
SKGN-FG6,61570000,47140000,24,2,6,0.32,balanced
AMAZ-BIP5,16360000,14220000,50,4,16,0.28,profit_protection
